Min,Location,LOC_NUM_SOUND,Phase_Num,Bin_Num,Prop_Birds,num_birds
1,BODRC,1,1,1,0.125,1
2,BODRC,1,1,1,0.125,1
3,BODRC,1,1,1,0.0625,1
4,BODRC,1,1,1,0.0625,1
5,BODRC,1,1,1,0.08333333,2
6,BODRC,1,1,1,0.0952381,2
7,BODRC,1,1,1,0.04444444,2
8,BODRC,1,1,1,0.04444444,2
9,BODRC,1,1,1,0.11111111,4
10,BODRC,1,1,1,0.17948718,7
11,BODRC,1,1,1,0,0
12,BODRC,1,1,1,0,0
13,BODRC,1,1,1,0,0
14,BODRC,1,1,1,0,0
15,BODRC,1,1,1,0.04545455,1
16,BODRC,1,1,1,0.22222222,6
17,BODRC,1,1,1,0.22222222,6
18,BODRC,1,1,1,0,0
19,BODRC,1,1,1,0,0
20,BODRC,1,1,1,0,0
21,BODRC,1,2,1,0,0
22,BODRC,1,2,1,0.04545455,1
23,BODRC,1,2,1,0.03703704,1
24,BODRC,1,2,1,0.06896552,2
25,BODRC,1,2,1,0.11111111,3
26,BODRC,1,2,1,0.11111111,3
27,BODRC,1,2,1,0.13333333,4
28,BODRC,1,2,1,0.05882353,1
29,BODRC,1,2,1,0.04545455,1
30,BODRC,1,2,1,0.03125,1
31,BODRC,1,2,1,0.04347826,1
32,BODRC,1,2,1,0.18518519,5
33,BODRC,1,2,1,0.16666667,4
34,BODRC,1,2,1,0.36842105,7
35,BODRC,1,2,1,0.52941176,9
36,BODRC,1,2,1,0.40740741,11
37,BODRC,1,2,1,0.32,8
38,BODRC,1,2,1,0.52380952,11
39,BODRC,1,2,1,0.56521739,13
40,BODRC,1,2,1,0.41666667,10
41,BODRC,1,3,1,0.24137931,7
42,BODRC,1,3,1,0.3125,10
43,BODRC,1,3,1,0.46153846,6
44,BODRC,1,3,1,0.10714286,3
45,BODRC,1,3,1,0.21428571,6
46,BODRC,1,3,1,0.07407407,2
47,BODRC,1,3,1,0.05,1
48,BODRC,1,3,1,0.2,5
49,BODRC,1,3,1,0.28571429,8
50,BODRC,1,3,1,0.2,7
51,BODRC,1,3,1,0.24324324,9
52,BODRC,1,3,1,0.61538462,16
53,BODRC,1,3,1,0.53571429,15
54,BODRC,1,3,1,0.4,12
55,BODRC,1,3,1,0.56666667,17
56,BODRC,1,3,1,0.58064516,18
57,BODRC,1,3,1,0.42307692,11
58,BODRC,1,3,1,0.59090909,13
59,BODRC,1,3,1,0.55555556,15
60,BODRC,1,3,1,0.38461538,15
1,BODRC,1,1,2,0.625,5
2,BODRC,1,1,2,0.625,5
3,BODRC,1,1,2,0.1875,3
4,BODRC,1,1,2,0.1875,3
5,BODRC,1,1,2,0.125,3
6,BODRC,1,1,2,0.190476191,4
7,BODRC,1,1,2,0.177777778,8
8,BODRC,1,1,2,0.177777778,8
9,BODRC,1,1,2,0.194444444,7
10,BODRC,1,1,2,0.538461539,21
11,BODRC,1,1,2,0.583333333,21
12,BODRC,1,1,2,0.482758621,14
13,BODRC,1,1,2,0.84,21
14,BODRC,1,1,2,0.523809524,11
15,BODRC,1,1,2,0.5,11
16,BODRC,1,1,2,0.518518519,14
17,BODRC,1,1,2,0.518518519,14
18,BODRC,1,1,2,0.807692308,21
19,BODRC,1,1,2,0.793103448,23
20,BODRC,1,1,2,0.516129032,16
